CustomerID,Total Orders,Total Revenue,Revenue per Order,Total Shipping Cost,Shipping Cost per Order,First Order,Latest Order,Avg. gap (days),since last order(days),Orders Mon,Orders Tue,Orders Wed,Orders Thurs,Orders Fri,Orders Sat,Orders Sun,Revenue Mon,Revenue Tue,Revenue Wed,Revenue Thurs,Revenue Fri,Revenue Sat,Revenue Sun,Week1 Orders,Week2 Orders,Week3 Orders,Week4 Orders,Week1 Revenue,Week2 Revenue,Week3 Revenue,Week4 Revenue,Orders(12AM-6AM),Orders(6AM-12PM),Orders(12PM-6PM),Orders(6PM-12AM),Revenue(12AM-6AM),Revenue(6AM-12PM),Revenue(12PM-6PM),Revenue(6PM-12AM)
2823,37,"3,934.05",106.33,162.50,4.39,30/08/2014,24/10/2021,71,1,3,5,7,5,4,7,6,491.54,471.95,556.93,571.68,523.93,634.34,683.68,9,10,7,11,686.20,"1,262.83",604.64,"1,380.38",2,15,7,13,200.38,"1,872.32",567.84,"1,293.51"
2824,20,"3,933.82",196.69,74.87,3.74,15/09/2015,24/10/2021,112,1,3,3,4,3,2,3,2,370.92,382.99,739.47,968.99,268.99,455.97,746.49,7,3,5,5,"1,771.97",744.98,587.95,828.92,0,5,9,6,0.00,801.41,"2,025.95","1,106.46"
2904,21,"3,778.07",179.91,91.07,4.34,25/01/2021,24/10/2021,13,1,6,1,1,1,2,3,7,460.39,188.39,125.99,73.19,118.99,541.17,"2,269.95",8,1,4,8,"1,560.77",105.19,475.82,"1,636.29",5,8,5,3,316.77,"1,776.56","1,460.56",224.18
2927,34,"3,725.48",109.57,115.78,3.41,17/02/2020,24/10/2021,18,1,6,4,4,6,8,1,5,704.46,414.46,389.98,638.98,852.49,107.99,617.12,2,13,7,12,191.88,"1,410.41",747.44,"1,375.75",17,4,8,5,"1,546.10",532.97,866.93,779.48
2945,31,"3,660.12",118.07,114.77,3.70,01/04/2018,24/10/2021,42,1,9,2,2,1,4,2,11,"1,017.44",196.48,263.98,179.99,659.97,459.68,882.58,6,6,11,8,983.46,582.95,"1,248.32",845.39,2,8,11,10,289.98,"1,108.84",869.19,"1,392.11"
3001,28,"3,547.93",126.71,61.68,2.20,19/05/2014,24/10/2021,97,1,1,9,7,5,1,0,5,116.10,"1,138.23","1,054.27",409.25,183.60,0.00,646.48,0,18,7,3,0.00,"2,182.19","1,028.29",337.45,0,2,13,13,0.00,184.99,"1,553.33","1,809.61"
3003,31,"3,547.70",114.44,150.70,4.86,02/12/2020,24/10/2021,11,1,0,5,6,3,3,7,7,0.00,709.96,724.94,283.97,388.97,792.93,646.93,8,6,6,11,831.92,813.95,772.94,"1,128.89",4,1,18,8,447.96,123.99,"2,162.83",812.92
3072,11,"3,401.97",309.27,45.87,4.17,11/02/2019,24/10/2021,90,1,1,3,2,2,0,2,1,136.99,"1,224.08",270.99,671.99,0.00,860.99,236.93,1,3,2,5,367.99,711.98,566.48,"1,755.52",2,2,4,3,604.92,954.49,"1,027.57",814.99
3082,20,"3,391.09",169.55,61.89,3.09,25/04/2021,24/10/2021,9,1,1,2,0,1,3,7,6,215.00,208.08,0.00,67.09,620.00,"1,137.95","1,142.97",0,3,3,14,0.00,288.67,529.99,"2,572.43",1,5,8,6,68.09,949.48,"1,300.05","1,073.47"
3117,15,"3,322.83",221.52,45.93,3.06,25/04/2020,24/10/2021,36,1,0,3,1,3,5,1,2,0.00,473.99,107.99,544.98,"1,058.78",407.00,730.09,1,6,5,3,225.00,"1,042.86","1,013.98","1,040.99",0,5,5,5,0.00,"1,011.07","1,418.97",892.79
3127,29,"3,305.80",113.99,103.80,3.58,12/11/2020,24/10/2021,12,1,0,4,5,2,4,8,6,0.00,705.97,598.95,215.99,434.97,714.95,634.97,3,8,7,11,545.97,910.96,661.94,"1,186.93",0,7,8,14,0.00,467.97,991.94,"1,845.89"
3138,13,"3,287.77",252.91,42.92,3.30,22/03/2016,24/10/2021,157,1,1,1,1,1,1,5,3,367.49,104.99,300.00,391.50,514.99,568.17,"1,040.63",2,7,1,3,577.48,"2,159.17",104.99,446.13,1,1,2,9,55.00,391.50,"1,008.49","1,832.78"
3186,13,"3,224.55",248.04,24.95,1.92,12/04/2017,24/10/2021,127,1,4,0,4,1,3,0,1,812.07,0.00,"1,526.98",247.50,162.00,0.00,476.00,5,1,2,5,808.08,144.99,165.99,"2,105.49",0,8,5,0,0.00,"1,676.57","1,547.98",0.00
3196,19,"3,211.35",169.02,84.85,4.47,11/02/2018,24/10/2021,71,1,4,2,1,1,7,0,4,"1,183.96",275.98,105.00,385.00,595.94,0.00,665.47,5,3,4,7,855.97,384.99,757.96,"1,212.43",0,6,6,7,0.00,788.96,844.94,"1,577.45"
3234,14,"3,149.69",224.98,30.94,2.21,17/06/2020,24/10/2021,35,1,1,0,1,4,5,0,3,180.99,0.00,720.99,143.38,677.45,0.00,"1,426.88",3,3,7,1,91.99,728.57,"1,579.43",749.70,2,5,1,6,801.09,421.17,528.99,"1,398.44"
3260,18,"3,113.08",172.95,50.48,2.80,12/04/2020,24/10/2021,31,1,4,3,0,0,1,4,6,912.74,463.73,0.00,0.00,221.99,444.21,"1,070.41",5,1,7,5,685.21,200.00,"1,502.58",725.29,1,3,6,8,287.49,645.99,"1,060.90","1,118.70"
3279,18,"3,088.26",171.57,33.66,1.87,30/03/2020,24/10/2021,32,1,2,1,2,2,0,5,6,345.68,234.00,619.70,199.92,0.00,827.27,861.69,2,9,2,5,166.99,"1,442.07",199.92,"1,279.28",3,7,5,3,897.70,877.68,509.70,803.18
3304,24,"3,060.53",127.52,125.78,5.24,01/06/2016,24/10/2021,82,1,4,2,4,3,4,3,4,441.66,413.69,428.06,202.18,687.81,565.67,321.46,4,6,8,6,458.66,613.39,"1,053.74",934.74,4,7,7,6,604.31,810.04,"1,011.79",634.39
3332,22,"3,027.11",137.60,69.86,3.18,01/11/2019,24/10/2021,33,1,1,1,2,0,2,9,7,116.19,266.89,128.99,0.00,703.48,896.94,914.62,2,8,2,10,566.68,731.16,350.78,"1,378.49",1,8,4,9,266.89,"1,260.41",914.86,584.95
3407,24,"2,944.71",122.70,96.81,4.03,24/12/2016,24/10/2021,74,1,1,2,0,4,6,2,9,53.99,198.63,0.00,835.37,514.16,342.99,999.57,7,6,3,8,476.15,746.14,351.62,"1,370.80",3,9,9,3,295.98,895.13,"1,385.62",367.98
3478,28,"2,865.89",102.35,110.79,3.96,10/08/2017,24/10/2021,55,1,3,7,4,6,3,2,3,432.98,511.76,429.26,620.97,323.97,212.98,333.97,7,6,10,5,686.75,592.24,914.93,671.97,6,11,5,6,490.93,"1,123.00",711.98,539.98
3731,31,"2,659.31",85.78,102.81,3.32,13/11/2019,24/10/2021,23,1,4,3,2,5,5,7,5,285.49,254.97,360.25,478.72,447.71,556.46,275.71,7,5,10,9,608.94,545.49,936.94,567.94,1,7,14,9,98.74,519.46,"1,246.66",794.45
3800,13,"2,612.35",200.95,51.35,3.95,11/11/2017,24/10/2021,111,1,2,2,2,0,2,3,2,330.99,436.99,284.99,0.00,339.98,928.98,290.42,1,5,2,5,233.99,"1,209.97",239.99,928.40,0,3,2,8,0.00,573.97,311.43,"1,726.95"
3804,19,"2,609.00",137.32,78.85,4.15,05/08/2020,24/10/2021,23,1,1,5,1,3,3,3,3,289.00,676.95,137.99,477.97,224.38,425.98,376.73,4,6,3,6,532.16,965.95,452.19,658.70,0,4,12,3,0.00,514.93,"1,639.10",454.97
3813,11,"2,604.78",236.80,20.33,1.85,18/05/2019,24/10/2021,81,1,0,2,0,0,3,4,2,0.00,472.44,0.00,0.00,514.99,"1,229.35",388.00,1,0,3,7,77.44,0.00,"1,400.35","1,126.99",1,4,4,2,94.99,"1,618.36",418.99,472.44
3905,23,"2,555.27",111.10,102.82,4.47,31/07/2018,24/10/2021,51,1,2,2,2,13,0,1,3,152.73,183.98,254.23,"1,493.37",0.00,90.49,380.47,4,4,7,8,287.74,592.47,823.69,851.37,9,3,9,2,901.94,541.48,930.87,180.98
3921,18,"2,544.48",141.36,53.98,3.00,27/10/2020,24/10/2021,20,1,1,5,1,3,5,1,2,225.49,723.99,196.99,334.99,742.96,203.99,116.07,7,4,5,2,"1,134.46",478.97,609.97,321.08,3,6,9,0,466.07,839.47,"1,238.94",0.00
3942,22,"2,534.23",115.19,89.83,4.08,25/12/2020,24/10/2021,14,1,4,2,1,1,9,1,4,363.48,485.98,94.09,200.99,733.33,280.99,375.37,0,5,10,7,0.00,643.42,"1,163.61",727.20,2,8,4,8,315.08,797.39,494.06,927.70
3953,21,"2,530.55",120.50,54.85,2.61,05/04/2021,24/10/2021,10,1,4,2,4,3,5,1,2,489.48,289.49,323.99,340.09,669.41,58.09,360.00,6,5,6,4,808.49,769.40,563.66,389.00,0,6,12,3,0.00,639.57,"1,508.89",382.09
4049,27,"2,475.84",91.70,61.89,2.29,28/06/2016,24/10/2021,72,1,3,2,3,4,3,4,8,416.98,224.00,165.18,216.99,224.99,309.58,918.12,5,5,8,9,380.98,970.99,569.64,554.23,1,2,10,14,154.99,176.64,748.15,"1,396.06"
4053,29,"2,469.36",85.15,98.81,3.41,28/12/2017,24/10/2021,48,1,5,2,6,4,4,4,4,379.18,204.98,500.35,416.37,305.08,286.98,376.42,5,5,5,14,499.98,328.16,391.18,"1,250.04",1,15,6,7,45.00,"1,246.95",459.95,717.46
4119,26,"2,432.01",93.54,66.86,2.57,12/10/2016,24/10/2021,71,1,4,8,3,2,3,0,6,223.98,633.16,388.97,233.98,256.18,0.00,695.74,6,3,6,11,558.98,400.98,557.76,914.29,1,7,11,7,161.99,512.18,"1,319.68",438.16
4151,20,"2,416.13",120.81,36.93,1.85,05/06/2021,24/10/2021,7,1,1,7,4,0,2,2,4,154.99,802.98,468.00,0.00,220.99,229.99,539.18,5,6,5,4,513.08,776.97,622.99,503.09,1,1,10,8,154.99,249.99,"1,192.08",819.07
4183,13,"2,402.91",184.84,52.91,4.07,08/01/2021,24/10/2021,22,1,1,0,0,1,6,1,4,80.00,0.00,0.00,236.99,"1,243.96",265.00,576.96,3,7,0,3,643.97,"1,368.97",0.00,389.97,2,4,5,2,339.99,890.97,804.97,366.98
4205,18,"2,390.84",132.82,88.84,4.94,03/04/2019,24/10/2021,52,1,2,3,4,2,4,2,1,280.98,327.97,325.96,420.98,608.97,360.99,64.99,7,5,3,3,"1,052.95",781.95,204.97,350.97,0,2,5,11,0.00,207.98,494.95,"1,687.91"
4217,24,"2,386.87",99.45,72.87,3.04,08/09/2020,24/10/2021,17,1,2,2,1,1,1,9,8,318.19,193.99,49.09,131.09,60.89,769.85,863.77,4,7,3,10,183.68,589.76,446.89,"1,166.54",9,6,2,7,783.14,925.17,242.99,435.57
4348,9,"2,327.53",258.61,9.98,1.11,18/05/2021,24/10/2021,18,1,2,2,0,0,0,0,5,940.50,774.59,0.00,0.00,0.00,0.00,612.44,0,1,3,5,0.00,453.60,923.34,950.59,1,0,3,5,453.60,0.00,923.34,950.59
4428,20,"2,277.34",113.87,81.84,4.09,07/09/2019,24/10/2021,39,1,4,0,2,5,3,2,4,322.47,0.00,209.98,607.96,177.99,407.98,550.96,9,4,1,6,"1,081.43",596.96,39.99,558.96,0,2,6,12,0.00,126.49,609.96,"1,540.89"
4441,40,"2,274.19",56.85,153.54,3.84,27/05/2020,24/10/2021,13,1,1,8,4,4,10,8,5,43.49,429.92,252.96,100.82,488.94,716.09,241.97,12,5,16,7,660.91,243.45,"1,018.89",350.94,0,16,6,18,0.00,921.22,356.95,996.02
4526,25,"2,234.03",89.36,89.84,3.59,10/05/2020,24/10/2021,21,1,5,5,3,3,1,1,7,403.80,578.96,271.89,296.12,155.99,72.99,454.28,5,8,7,5,370.08,723.40,613.39,527.16,1,5,8,11,72.99,525.95,927.75,707.34
4761,22,"2,144.10",97.46,50.90,2.31,24/12/2017,24/10/2021,64,1,0,3,3,4,4,5,3,0.00,188.18,309.64,474.19,360.17,445.98,365.94,4,9,4,5,398.18,754.95,368.63,622.34,3,6,11,2,264.98,618.38,"1,100.90",159.84
4815,13,"2,125.67",163.51,44.92,3.46,23/11/2019,24/10/2021,54,1,0,2,1,0,1,4,5,0.00,231.99,189.99,0.00,73.99,"1,032.73",596.97,5,3,3,2,"1,274.47",307.48,337.73,205.99,1,3,9,0,151.00,396.48,"1,578.19",0.00
4825,25,"2,120.69",84.83,75.84,3.03,01/05/2018,24/10/2021,51,1,0,6,3,3,3,3,7,0.00,415.96,420.99,275.48,201.94,268.18,538.14,5,2,9,9,476.98,202.99,664.61,776.11,0,1,6,18,0.00,33.99,550.98,"1,535.72"
5109,8,"2,024.43",253.05,43.93,5.49,18/12/2018,24/10/2021,130,1,1,1,1,1,1,2,1,160.99,70.99,476.99,615.99,146.49,195.98,357.00,0,5,2,1,0.00,"1,561.45",105.98,357.00,0,5,3,0,0.00,770.46,"1,253.97",0.00
5190,10,"2,004.09",200.41,29.94,2.99,24/09/2020,24/10/2021,40,1,0,1,3,2,3,0,1,0.00,350.49,723.58,160.18,279.39,0.00,490.45,0,4,1,5,0.00,299.58,350.49,"1,354.02",1,3,1,5,334.59,279.39,490.45,899.66
5204,15,"1,999.14",133.28,16.97,1.13,05/05/2017,24/10/2021,109,1,2,2,0,3,5,1,2,169.99,261.00,0.00,986.00,154.19,184.00,243.96,3,3,5,4,518.00,390.00,149.18,941.96,0,6,1,8,0.00,189.19,608.00,"1,201.95"
5222,28,"1,993.50",71.20,79.85,2.85,21/09/2020,24/10/2021,14,1,1,2,12,5,1,5,2,196.99,68.99,"1,161.88",134.59,57.99,269.82,103.24,1,6,9,12,57.99,467.36,"1,038.74",429.41,8,14,4,2,497.22,"1,191.71",98.59,205.98
5336,17,"1,957.14",115.13,91.84,5.40,09/07/2020,24/10/2021,28,1,5,3,2,5,0,0,2,343.36,392.47,250.08,662.25,0.00,0.00,308.98,3,3,4,7,394.07,439.07,481.36,642.64,2,5,5,5,262.08,308.66,637.25,749.15
5434,17,"1,931.17",113.60,44.92,2.64,21/08/2020,24/10/2021,25,1,2,0,5,0,3,3,4,56.19,0.00,327.58,0.00,652.93,353.19,541.28,6,2,5,4,494.97,56.19,849.93,530.08,0,11,3,3,0.00,"1,204.51",439.08,287.58
5454,9,"1,924.96",213.88,22.96,2.55,10/04/2021,24/10/2021,22,1,0,0,0,3,2,2,2,0.00,0.00,0.00,806.98,239.98,218.00,660.00,0,2,4,3,0.00,218.00,866.97,839.99,2,4,3,0,626.99,878.00,419.97,0.00
5456,15,"1,924.86",128.32,77.86,5.19,21/06/2018,24/10/2021,81,1,3,2,0,1,1,4,4,419.97,340.98,0.00,53.99,94.99,511.97,502.96,1,4,6,4,124.99,681.96,640.94,476.97,0,3,4,8,0.00,546.98,461.96,915.92
5460,18,"1,924.45",106.91,49.90,2.77,21/01/2021,24/10/2021,15,1,1,4,1,2,2,3,5,58.09,459.77,108.99,260.59,120.19,540.34,376.48,5,6,4,3,435.86,720.87,436.92,330.80,2,4,5,7,170.59,361.23,715.08,677.55
5534,9,"1,905.12",211.68,14.97,1.66,01/12/2020,24/10/2021,36,1,0,1,0,2,0,2,4,0.00,88.99,0.00,707.44,0.00,732.99,375.70,1,1,0,7,88.99,463.25,0.00,"1,352.88",0,4,3,2,0.00,375.70,796.43,732.99
5593,18,"1,890.12",105.01,41.92,2.33,09/10/2020,24/10/2021,21,1,0,2,1,1,13,0,1,0.00,138.38,80.99,108.19,"1,464.81",0.00,97.75,4,3,5,6,505.99,467.37,373.64,543.12,12,2,4,0,"1,207.14",176.99,505.99,0.00
5612,13,"1,886.04",145.08,30.94,2.38,24/12/2018,24/10/2021,80,1,4,1,0,1,3,0,4,651.44,211.99,0.00,523.49,189.49,0.00,309.63,2,2,7,2,161.18,735.48,450.63,538.75,0,4,6,3,0.00,210.74,"1,541.36",133.94
5645,12,"1,879.72",156.64,49.92,4.16,04/10/2017,24/10/2021,123,1,2,0,4,3,1,0,2,322.48,0.00,484.12,810.47,106.25,0.00,156.40,4,4,2,2,619.96,678.88,424.48,156.40,8,2,1,1,"1,356.10",141.48,272.49,109.65
5667,19,"1,876.65",98.77,86.85,4.57,17/01/2021,24/10/2021,15,1,1,3,0,7,2,4,2,45.99,448.98,0.00,729.54,188.78,273.38,189.98,2,9,4,4,227.98,945.54,373.16,329.97,0,5,7,7,0.00,553.96,540.36,782.33
5697,21,"1,868.29",88.97,62.89,2.99,01/07/2019,24/10/2021,40,1,3,3,6,1,4,1,3,257.48,331.88,501.48,68.19,303.18,138.19,267.89,7,7,2,5,598.15,620.08,104.99,545.07,0,13,8,0,0.00,"1,100.94",767.35,0.00
5746,10,"1,858.95",185.90,30.95,3.10,19/01/2021,24/10/2021,28,1,1,1,3,0,1,1,3,195.00,69.99,650.00,0.00,140.99,213.99,588.98,0,1,5,4,0.00,213.99,914.99,729.97,1,3,2,4,213.99,588.98,264.99,790.99
5753,17,"1,857.86",109.29,72.86,4.29,01/01/2018,24/10/2021,82,1,2,5,1,1,2,2,4,233.99,512.97,69.99,154.99,112.98,254.98,517.96,6,0,1,10,754.95,0.00,104.99,997.92,2,10,1,4,285.98,999.91,104.99,466.98
5940,13,"1,813.31",139.49,45.91,3.53,21/05/2020,24/10/2021,40,1,0,2,2,2,2,0,5,0.00,400.00,298.98,271.98,233.39,0.00,608.96,4,5,1,3,563.98,656.96,141.99,450.38,3,3,0,7,469.99,343.37,0.00,999.95
6019,15,"1,796.57",119.77,68.87,4.59,19/03/2019,24/10/2021,63,1,1,2,3,3,3,2,1,120.99,321.98,226.47,427.98,397.22,272.18,29.75,3,3,4,5,431.22,418.48,475.96,470.91,2,3,6,4,153.23,418.48,666.90,557.96
6044,8,"1,790.97",223.87,18.97,2.37,28/09/2017,24/10/2021,186,1,1,0,2,1,2,1,1,624.99,0.00,741.99,166.00,44.99,26.00,187.00,1,0,3,4,625.99,0.00,669.98,495.00,0,2,3,3,0.00,740.99,978.99,70.99
6199,10,"1,757.96",175.80,22.96,2.30,16/12/2014,24/10/2021,250,1,1,1,3,0,1,1,3,575.00,109.00,234.97,0.00,96.99,326.00,416.00,0,1,5,4,0.00,326.00,918.97,512.99,0,6,3,1,0.00,"1,426.00",266.97,64.99
6212,25,"1,756.37",70.25,89.72,3.59,10/07/2020,24/10/2021,19,1,5,5,2,4,4,1,4,360.86,202.17,242.24,258.37,318.32,85.09,289.32,8,6,7,4,416.14,439.56,555.71,344.96,3,13,8,1,205.37,797.96,612.79,140.25
6246,13,"1,748.81",134.52,59.81,4.60,17/10/2018,24/10/2021,85,1,3,1,1,5,1,0,2,564.98,110.99,100.99,721.96,26.99,0.00,222.90,4,1,7,1,575.46,345.00,750.44,77.91,0,1,6,6,0.00,94.99,566.37,"1,087.45"
6270,11,"1,744.81",158.62,19.96,1.81,17/08/2020,24/10/2021,39,1,1,0,2,0,3,0,5,424.99,0.00,187.00,0.00,465.18,0.00,667.64,2,4,2,3,187.00,391.39,605.18,561.24,1,9,1,0,180.19,"1,288.37",276.25,0.00
6297,21,"1,739.11",82.81,71.86,3.42,15/12/2020,24/10/2021,15,1,1,5,8,1,3,1,2,84.99,496.46,814.61,19.99,144.98,85.09,92.99,0,14,2,5,0.00,"1,279.66",119.99,339.46,5,11,3,2,453.97,867.08,178.08,239.98
6361,18,"1,726.06",95.89,79.86,4.44,02/09/2020,24/10/2021,23,1,5,1,1,1,1,3,6,398.96,64.99,55.49,81.99,162.99,225.58,736.06,3,2,5,8,201.47,251.18,573.05,700.36,0,2,6,10,0.00,244.98,552.56,928.52
6402,10,"1,718.92",171.89,47.92,4.79,29/06/2019,24/10/2021,85,1,0,0,0,1,2,4,3,0.00,0.00,0.00,193.99,539.98,685.97,298.98,1,1,3,5,193.99,133.99,509.97,880.97,0,3,3,4,0.00,521.98,709.97,486.97
6406,18,"1,718.60",95.48,55.40,3.08,13/09/2020,24/10/2021,23,1,0,2,2,1,1,7,5,0.00,150.18,111.35,232.19,58.09,407.48,759.31,2,2,7,7,100.19,339.58,697.52,581.31,2,5,5,6,100.19,652.27,470.52,495.62
6513,16,"1,699.95",106.25,24.95,1.56,19/02/2021,24/10/2021,15,1,0,1,4,4,6,0,1,0.00,74.99,179.99,573.98,661.99,0.00,209.00,3,0,11,2,539.98,0.00,875.98,283.99,0,1,2,13,0.00,209.00,169.98,"1,320.97"
6531,10,"1,697.25",169.73,32.95,3.30,18/10/2020,24/10/2021,37,1,0,0,2,0,1,4,3,0.00,0.00,230.28,0.00,123.09,647.59,696.29,1,0,6,3,123.09,0.00,"1,146.87",427.29,0,4,5,1,0.00,531.29,"1,110.97",54.99
6562,9,"1,692.57",188.06,14.97,1.66,11/01/2021,24/10/2021,32,1,1,2,0,0,4,1,1,748.00,122.99,0.00,0.00,320.58,301.00,200.00,2,2,4,1,122.99,811.99,557.59,200.00,0,2,0,7,0.00,122.99,0.00,"1,569.58"
6615,8,"1,682.96",210.37,24.96,3.12,15/04/2018,24/10/2021,161,1,1,1,1,1,0,1,3,87.99,58.99,355.00,218.99,0.00,75.00,886.99,1,4,1,2,700.00,581.98,218.99,181.99,0,4,3,1,0.00,741.98,881.99,58.99
6631,12,"1,681.80",140.15,42.20,3.52,20/11/2018,24/10/2021,89,1,0,3,4,0,2,2,1,0.00,575.08,268.19,0.00,270.98,462.98,104.57,2,2,2,6,266.38,462.98,360.49,591.95,0,2,4,6,0.00,434.98,654.45,592.37
6705,6,"1,672.60",278.77,27.95,4.66,15/03/2018,24/10/2021,220,1,1,1,1,1,0,1,1,444.99,236.19,196.19,439.00,0.00,236.19,120.04,3,1,1,1,668.57,439.00,444.99,120.04,0,3,3,0,0.00,795.23,877.37,0.00
6897,20,"1,641.58",82.08,59.88,2.99,30/01/2021,24/10/2021,13,1,1,0,0,2,3,9,5,45.00,0.00,0.00,61.99,319.98,698.65,515.96,1,8,3,8,174.09,671.96,165.99,629.54,2,9,0,9,61.99,812.64,0.00,766.95
6904,14,"1,640.34",117.17,58.89,4.21,03/07/2017,24/10/2021,112,1,3,0,2,1,0,0,8,408.57,0.00,338.68,102.60,0.00,0.00,790.49,3,2,5,4,482.67,172.80,553.35,431.52,0,3,5,6,0.00,341.97,728.82,569.55
6946,14,"1,633.95",116.71,26.95,1.93,30/09/2020,24/10/2021,28,1,2,0,5,3,1,0,3,397.98,0.00,318.99,334.99,204.00,0.00,377.99,3,0,3,8,418.00,0.00,336.98,878.97,0,0,11,3,0.00,0.00,"1,165.97",467.98
6947,21,"1,633.65",77.79,52.90,2.52,17/12/2019,24/10/2021,32,1,1,6,2,4,1,1,6,198.59,504.74,60.99,365.82,92.19,69.99,341.33,0,6,5,10,0.00,509.35,455.17,669.13,0,4,9,8,0.00,142.80,864.24,626.61
6994,11,"1,626.43",147.86,37.93,3.45,26/08/2019,24/10/2021,72,1,3,1,0,2,0,0,5,300.98,255.00,0.00,407.99,0.00,0.00,662.46,0,4,3,4,0.00,561.47,348.98,715.98,0,4,6,1,0.00,561.47,974.96,90.00
7000,9,"1,625.12",180.57,16.97,1.89,31/12/2018,24/10/2021,114,1,3,0,0,0,1,2,3,529.99,0.00,0.00,0.00,93.99,581.00,420.14,1,2,2,4,263.00,553.00,257.99,551.13,1,2,5,1,123.99,575.00,642.13,284.00
7010,14,"1,623.52",115.97,45.92,3.28,16/08/2016,24/10/2021,135,1,4,1,1,3,2,0,3,543.49,52.99,194.99,236.19,268.39,0.00,327.47,0,3,9,2,0.00,335.38,"1,027.66",260.48,0,4,1,9,0.00,458.96,24.99,"1,139.57"
7015,17,"1,622.99",95.47,56.89,3.35,27/05/2020,24/10/2021,30,1,3,0,4,1,5,3,1,325.98,0.00,258.47,132.99,240.58,415.97,249.00,2,4,0,11,197.48,334.37,0.00,"1,091.14",1,2,4,10,60.00,330.98,429.86,802.15
7063,16,"1,614.57",100.91,42.07,2.63,29/11/2020,24/10/2021,21,1,5,0,0,1,0,4,6,369.97,0.00,0.00,90.00,0.00,294.48,860.12,6,0,0,10,"1,009.97",0.00,0.00,604.60,0,8,7,1,0.00,985.12,534.46,94.99
